date,price
2018-11-01,89.99
2018-11-02,89.99
2018-11-03,89.99
2018-11-04,89.99
2018-11-05,89.99
2018-11-06,89.99
2018-11-07,99.99
2018-11-08,99.99
2018-11-09,99.99
2018-11-10,99.99
2018-11-11,99.99
2018-11-12,99.99
2018-11-13,99.99
2018-11-14,99.99
2018-11-15,99.99
2018-11-16,99.99
2018-11-17,99.99
2018-11-18,99.99
2018-11-19,99.99
2018-11-20,99.99
2018-11-21,99.99
2018-11-22,99.99
2018-11-23,79.99
2018-11-24,79.99
2018-11-25,79.99
2018-11-26,79.99
2018-11-27,119.99
2018-11-28,119.99
2018-11-29,119.99
2018-11-30,119.99
2018-12-01,119.99
2018-12-02,119.99
2018-12-03,119.99
2018-12-04,119.99
2018-12-05,119.99
2018-12-06,119.99
2018-12-07,119.99
2018-12-08,119.99
2018-12-09,79.99
2018-12-10,79.99
2018-12-11,79.99
2018-12-12,79.99
2018-12-13,79.99
2018-12-14,79.99
2018-12-15,79.99
2018-12-16,79.99
2018-12-17,79.99
2018-12-18,79.99
2018-12-19,79.99
2018-12-20,79.99
2018-12-21,79.99
2018-12-22,79.99
2018-12-23,79.99
2018-12-24,79.99
2018-12-25,79.99
2018-12-26,119.99
2018-12-27,119.99
2018-12-28,119.99
2018-12-29,119.95
2018-12-30,119.86
2018-12-31,119.74
2019-01-01,119.69
2019-01-02,119.74
2019-01-03,119.74
2019-01-04,119.74
2019-01-05,119.74
2019-01-06,119.74
2019-01-07,119.74
2019-01-08,119.49
2019-01-09,113.76
2019-01-10,113.76
2019-01-11,113.76
2019-01-12,113.76
2019-01-13,113.6
2019-01-14,113.76
2019-01-15,113.23
2019-01-16,113.23
2019-01-17,113.23
2019-01-18,113.23
2019-01-19,113.23
2019-01-20,113.23
2019-01-21,113.23
2019-01-22,113.23
2019-01-23,113.23
2019-01-24,113.23
2019-01-25,113.23
2019-01-26,79.99
2019-01-27,79.99
2019-01-28,79.99
2019-01-29,79.99
2019-01-30,79.99
2019-01-31,79.99
2019-02-01,79.99
2019-02-02,79.99
2019-02-03,79.99
2019-02-04,79.99
2019-02-05,79.99
2019-02-06,79.99
2019-02-07,79.99
2019-02-08,79.99
2019-02-09,79.99
2019-02-10,79.99
2019-02-11,79.99
