date,price
2018-11-01,509.89
2018-11-02,509.89
2018-11-03,509.89
2018-11-04,509.89
2018-11-05,509.89
2018-11-06,509.89
2018-11-07,509.89
2018-11-08,509.89
2018-11-09,509.89
2018-11-10,509.89
2018-11-11,509.89
2018-11-12,509.89
2018-11-13,509.89
2018-11-14,509.88
2018-11-15,509.88
2018-11-16,509.88
2018-11-17,509.88
2018-11-18,509.88
2018-11-19,509.88
2018-11-20,509.88
2018-11-21,508
2018-11-22,508
2018-11-23,508
2018-11-24,508
2018-11-25,508
2018-11-26,508
2018-11-27,508
2018-11-28,509.88
2018-11-29,509.88
2018-11-30,509.88
2018-12-01,509.87
2018-12-02,509.87
2018-12-03,509.87
2018-12-04,509.87
2018-12-05,509.87
2018-12-06,509.87
2018-12-07,509.87
2018-12-08,509.87
2018-12-09,509.87
2018-12-10,509.87
2018-12-11,509.87
2018-12-12,509.87
2018-12-13,509.87
2018-12-14,509.87
2018-12-15,509.87
2018-12-16,509.87
2018-12-17,509.87
2018-12-18,514
2018-12-19,518
2018-12-20,517.99
2018-12-21,508.95
2018-12-22,517.99
2018-12-23,517.99
2018-12-24,517.69
2018-12-25,517.69
2018-12-26,508.95
2018-12-27,517.69
2018-12-28,517.69
2018-12-29,517.69
2018-12-30,517.69
2018-12-31,517.69
2019-01-01,518
2019-01-02,518
2019-01-03,518
2019-01-04,518
2019-01-05,518
2019-01-06,518
2019-01-07,518
2019-01-08,518
2019-01-09,518
2019-01-10,518
2019-01-11,518
2019-01-12,518
2019-01-13,518
2019-01-14,518
2019-01-15,518
2019-01-16,518
2019-01-17,518
2019-01-18,518
2019-01-19,518
2019-01-20,518
2019-01-21,518
2019-01-22,518
2019-01-23,518
2019-01-24,518
2019-01-25,518
2019-01-26,518
2019-01-27,518
2019-01-28,518
2019-01-29,518
2019-01-30,518
2019-01-31,518
2019-02-01,518
2019-02-02,518
2019-02-03,518
2019-02-04,518
2019-02-05,518
2019-02-06,518
2019-02-07,518
2019-02-08,518
2019-02-09,518
2019-02-10,518
2019-02-11,518
2019-02-12,518
2019-02-13,518
2019-02-14,518
2019-02-15,518
2019-02-16,518
2019-02-17,535.67
2019-02-18,535.67
2019-02-19,535.67
2019-02-20,559
2019-02-21,559
2019-02-22,559
2019-02-23,559
2019-02-24,559
2019-02-25,559
2019-02-26,559
2019-02-27,559
2019-02-28,559
2019-03-01,559
2019-03-02,559
2019-03-03,559
2019-03-04,559
2019-03-05,559
2019-03-06,559
2019-03-07,559
2019-03-08,559
2019-03-09,559
2019-03-10,559
2019-03-11,559
2019-03-12,559
2019-03-13,559
2019-03-14,559
2019-03-15,559
2019-03-16,559
2019-03-17,559
2019-03-18,559
2019-03-19,559
2019-03-20,559
2019-03-21,559
2019-03-22,559
2019-03-23,559
2019-03-24,559
2019-03-25,559
2019-03-26,629
2019-03-27,629
2019-03-28,629.99
2019-03-29,629.99
2019-03-30,638.99
2019-03-31,638.99
2019-04-01,638.99
2019-04-02,638.99
2019-04-03,638.99
2019-04-04,638.99
2019-04-05,638.99
2019-04-06,638.99
2019-04-07,638.99
2019-04-08,638.99
2019-04-09,629
2019-04-10,629
2019-04-11,629
2019-04-12,629
2019-04-13,629
2019-04-14,629
